epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision,metrics/recall,metrics/mAP@50,metrics/mAP,val/box_loss,val/cls_loss,val/dfl_loss
075,0.995,0.578,1.168,0.859,0.814,0.858,0.600,1.142,0.871,1.335
076,0.993,0.574,1.166,0.860,0.814,0.859,0.601,1.142,0.870,1.334
077,0.984,0.567,1.161,0.860,0.814,0.858,0.601,1.142,0.870,1.334
078,0.983,0.566,1.158,0.862,0.811,0.857,0.601,1.141,0.869,1.334
079,0.986,0.562,1.160,0.863,0.810,0.856,0.600,1.141,0.870,1.334
080,0.980,0.562,1.159,0.863,0.810,0.856,0.601,1.142,0.870,1.336
081,0.974,0.560,1.156,0.863,0.811,0.857,0.601,1.142,0.870,1.336
082,0.980,0.557,1.161,0.862,0.811,0.857,0.600,1.143,0.870,1.336
083,0.974,0.554,1.152,0.866,0.809,0.856,0.601,1.143,0.870,1.336
084,0.972,0.553,1.152,0.865,0.809,0.857,0.601,1.143,0.870,1.336
085,0.972,0.551,1.152,0.874,0.806,0.858,0.601,1.143,0.870,1.337
086,0.971,0.548,1.151,0.868,0.809,0.857,0.601,1.144,0.870,1.338
087,0.966,0.550,1.150,0.863,0.813,0.858,0.602,1.144,0.871,1.339
088,0.961,0.550,1.146,0.873,0.806,0.858,0.602,1.145,0.871,1.339
089,0.958,0.542,1.144,0.875,0.806,0.859,0.602,1.145,0.871,1.340
090,0.955,0.540,1.144,0.880,0.806,0.860,0.603,1.145,0.871,1.339
091,0.931,0.469,1.150,0.876,0.809,0.861,0.604,1.142,0.866,1.337
092,0.921,0.463,1.142,0.875,0.813,0.862,0.606,1.140,0.860,1.334
093,0.916,0.456,1.138,0.875,0.813,0.863,0.606,1.137,0.856,1.332
094,0.908,0.453,1.137,0.873,0.812,0.863,0.607,1.134,0.852,1.329
095,0.905,0.447,1.135,0.877,0.811,0.864,0.609,1.132,0.847,1.327
096,0.900,0.442,1.129,0.875,0.811,0.865,0.610,1.130,0.843,1.326
097,0.897,0.439,1.127,0.876,0.810,0.866,0.611,1.128,0.839,1.324
098,0.889,0.434,1.122,0.876,0.811,0.866,0.611,1.127,0.836,1.323
099,0.884,0.429,1.121,0.878,0.810,0.867,0.612,1.126,0.834,1.321
100,0.880,0.427,1.118,0.881,0.809,0.868,0.612,1.124,0.831,1.321
